4,11.79847180110162;15.331126882487858
5,11.715961990255144;15.283160717533379
6,12.698921662339812;15.693187453936968
7,13.533086342167612;16.725978612893353
8,14.400479224977879;16.588495052865895
9,15.424297532397075;17.241992456893875
10,15.263122458263917;17.652053681990484
11,15.149548671789697;18.527240263937095
12,16.065542356555707;19.623286744290304
13,15.629128904028173;21.044164624133856
14,16.51551505505729;22.251911714760066
15,17.134436347815086;23.437398919830297
16,17.117206801970855;24.62593615225956
17,18.135834514613734;26.06962717795124
18,19.15516657984871;27.184537295341737
19,20.17286573375774;28.289595441545366
20,21.208106326621976;29.37105945654459
